Question,Type,Response
Culture Analysis,Improve,"The Reds have a good culture.  This is supported by the large number of employees who have 10+ years tenure.  Working for 1 of 30 MLB Clubs is special.  It is truly an honor.  
The Reds have done a lot to improve the culture.   That doesnt go unnoticed.  Because weve built a culture based on constant improvement here are a few suggestions:
Lead with trust.  Our core values are a good step in that equation.  We need Accountability, Adaptability and Collaboration to help us build trust amongst each other and with our leaders, yet it feels like senior leadership doesnt fully trust VP level and downward.
SVP and VP level executives have serious trust issues interdepartmentally.  It appears that every other departments needs are more important than the others.  It appears that departmental requests or process changes are a burden to other departments rather than an attempt to improve the entire organization. This needs to be fixed if we want to grow and develop the next crop of leaders.

Empower employees as far down the chain of command as possible to say yes.  Because we are an organization focused on image over all else, so often employees  are scared to make a mistake.  

Senior Leaders should consistently do things to develop their individual leadership.  Then share and coach those learnings to their peers/direct reports.  Almost Senior Leader (VP and higher), that Ive worked with, has an incredible mind and skillsets for operating and growing our business.   Deficiencies appears in the management and leadership of people.  There are many easy ways to grow and develop your leadership skills.  Books, Podcasts, Personality and strength/weakness assessments, outside agencies or trainers that teach and coach leadership.  This can be done individually or as a group.  Let the principles learned in this development cast a vision for the entire organization.  Put that vision in writing.  Send it to every employee. Speak that vision on a consistent basis.  This will create more committed followers and ultimately empower your work force.

"
Morale Analysis,Improve,"The Reds have provided a great place to work, as evidenced by the number of staff members with long tenures. The lack of on-field success does weigh heavily on us all and can make it challenge to wear a smile and get excited to give our best. The benefits summary was a great idea - but presented in a 'look at all we give you' way that rubbed many the wrong way. "
Better Place to Work Analysis,Very Good,The Reds is a great place to work overall - they offer some great benefits. 
Better Place to Work Analysis,Improve/Good,"The Reds need a consistent policy for all departments regarding working remotely because right now some departments allow their people to work from home while other departments are not allowing it.  

Make work/life balance for all staff who work games a formal organizational priority, verses leaving it a gray area for midlevel and higher personnel.
  "
Better Place to Work Analysis,Improve/Good,The Reds organization needs to get back to pre-Covid staff numbers. There are departments that are generating as much or more revenue than pre-2020 and yet the staff size is half of what it was. This is forcing the current employees to have the workload of what traditionally was required of 2-3 people; ultimately leading to burnout. 
Better Place to Work Analysis,Improve,"The Reds preach adaptability as a core value - however it feels as if the changing priorities of the workforce, namely the ask for adaptability and flexibility, is still an uphill battle. Those with game responsibilities agree and understand those positions require nights and weekends and don't bat an eye working a non-traditional schedule. However, it still feels as if there is an expectation to report to work at 8:30a and stay until 5:30p. It's understood that, as an organization that sells and services a product, the building needs to be open to service current and prospective clients as well as the other activities around the stadium. It would go a long way toward retaining our staff if there was an organizational improvement regarding the flexibility of being in the office."
Reward & Recognition,Improve/Good,The rewards that are given for these good performances and behaviors could be increased to give more incentive.
Better Place to Work Analysis,Improve/Good,The staff in Arizona need more time off. We have camps back to back almost all year now. Its causing burn out.
Reward & Recognition,Very Good,The system we have in place works well
Reward & Recognition,Improve/Good,"The Ticketing department does a wonderful job with acknowledging employees and giving out Reds Way rewards based on positive customer comments and interactions. The organization and newsletter both do a wonderful job with recognizing career milestones. I never thought about nominating someone in another department for Reds Way rewards, but I will do that from now on."
Morale Analysis,Improve/Good,the work life blance
Better Place to Work Analysis,Very Good,"The work/life balance will always be a challenge in this business.    Outside of continuing to work on that, I do not feel that there is anything else in reason that can be provided.  

"
Morale Analysis,Improve/Good,"The working suite during home weekday games will really help increase morale in baseball ops, as I mentioned in the first question"
Better Place to Work Analysis,Improve,"There are a lot of things that could be done here, some more realistic than others. I think a lot of the ways things could be improved stem from the fact that we have A LOT going on at all times and we just simply are not staffed appropriately in all areas. Most departments are very lean, in that it's like a basketball team with a strong starting 5 and little bench. When all the starters are in and healthy and being able to play almost the whole game, they're tough to beat. But if someone gets hurt or someone gets into foul trouble and has to miss time, it's very tough to make up for. What that translates to our world is that if we have someone leave or if someone is on vacation for a week or has to miss time unexpectedly for some reason, there's not enough backup or cushion in the staffing to make up for that. Every part of the engine is running at 100% (or more) at all times. We need to have more positions to create more areas for improvement and upward mobility. There's so many positions that could essentially be 2 full-time positions and still be plenty busy. Yes, maybe sometimes their work would be light but there's nothing wrong with positions having slow periods. "
Culture Analysis,Improve/Good,There doesn't seem to be much interaction between those working on the baseball-side and those on the business-side
Better Place to Work Analysis,Improve,"There is no trust between the corner offices and the organization.  It is broken and in need of repair for lots of reasons. Its starts with the culture change of focusing on what went right vs. what went wrong.  Give three compliments for every one criticism. The Reds have a fear based/C.Y.A culture. We tend to be quick to focus on what went wrong in all situations and then look to blame those who made the decision.  It's okay to provide coaching and feedback about a decision after it is made, but it must be approached from a seek to understand and make better vs. condescending and blame standpoint.  "
Culture Analysis,Improve/Good,"There should be at least 2 collaborative initiatives each season that Community Relations, Community Fund, Ticket Sales, Marketing, HOF and other supporting departments should participate in planning. There are departments that seem more secluded from others and lack knowledge cross-sectionally on what services other departments have to offer. "
Reward & Recognition,Improve/Good,These programs are small positives overall but I don't feel they substantially improve employee morale over the long term. Acknowledgements in the form of bonuses and/or raises above and beyond cost of living adjustments would be a way to translate exceptional work into a tangible recognition for employees.
Reward & Recognition,Improve/Good,These programs are small positives overall but I don't feel they substantially improve employee morale over the long term. Acknowledgements in the form of bonuses and/or raises above and beyond cost of living adjustments would be a way to translate exceptional work into a tangible recognition for employees.
Reward & Recognition,Improve,"These reward/recognitions feel forced upon the employees. Hey let's celebrate this person's success by having lunch for them, by the way, it's also taking time away from their important work or that person also can't make it. The hardest working people in the organization are the ones that never have the time for celebrations, they already know they are doing a great job, they don't need the recognition for it. If you want to reward the employees, doing it monetarily will always serve well. Not a gift card to the Reds cafeteria (Holy Grail) across the street or any other local food chain in the area. That's just too easy and not thoughtful.  "
Reward & Recognition,Very Good,"These things are great. More importantly, recognizing employees hard work through better compensation and growth opportunities means the most. The newsletter that HR puts out is also great in acknowledging employees lives outside of work as well as growth within the workplace. "
Morale Analysis,Improve/Good,Think of ways to keep staff engaged during losing streaks. I hear we used to have lunches catered a lot and have HH's led by Phil when team is good. I understand the excitement that comes from success but isn't it just important to do when we're struggling?
Reward & Recognition,Improve/Good,"Think the Reds do a pretty good job with this. Would maybe just look at the rewards offered for the various milestones (5, 10, etc...) as I think most folks would rather have something other than a gift card to the team shop or items/gift cards from Tiffany's. Gift cards to Amazon, Kroger, etc... or other more practical items to choose from other than expensive tie clips, bowls, etc... would be much more beneficial and practical for most. "
Morale Analysis,Improve,"This goes to the previous statement of letting the people do their work and trusting employees that the job will get done. I think of several projects when a department has worked on a project and completely bashed by the department head, almost in laughing, sarcastic matter. I'm sure the strength of morale takes a shot in everyone in the department. The stress, anxiety, mental health takes a toll on everyone. 

I would also like to see people within the organization be open to new and fresh ideas instead of proceeding as normal, the creative juices that make an employee best are gone after repeated no's or hard no's. Especially when other teams advancing with creative ways of innovating baseball for fans. There are so many great things we could be doing but most of it is recycled ideas from other teams. The talent is great at this place, however when people keep getting ideas turned down repeatedly, the more people start to leave the organization. Don't get me wrong, most people love working with their direct coworkers, it's just when other people get involved and have completely different opinions and because they have more tenure at this place, it's their way or the highway. Sure it is easy to say that it can be changed, but employees have been asking for this for years now, it still hasn't changed. Employees are just better off silent because they know it's not worth getting rejected time after time again.

Side note, most people are overworked at this place, especially with people leaving for other opportunities (even if those are not the greatest), most of those positions have gone to other employees to take care of, leaving employees working two jobs at the same time. Of course the stress, anxiety, mental health takes a toll on these people and it affects everyone else. Just make sure to compensate your employees fairly. It is another key reason why employees are leaving. "
Culture Analysis,Improve,"This is a very macho workplace. I don't mind it so much, but I know many others really despise how many F bombs are dropped in meetings, in a very public nonchalant manner. I know cuss words are becoming more and more informal, and I use them too, but they are worked into the vernacular of Reds C-level executives so much.  It can create an intimidating workplace for those that are uncomfortable around that language. 

I would NEVER recommend a female friend apply for a job here.  And given how many females have left recently, I think it backs up my assertion that it's not a good place for women.

- Also, no adult should ever be yelled at here.  It's demoralizing and makes you feel like a child.  I know MANY people who have quit, or wanted to quit, because of the demoralizing way a boss has treated them.  Our jobs aren't THAT important.  We aren't saving lives here, we just want people to come watch our baseball team play.  C-Level executives should not be so intimidated by our that it makes them lose their mind on a lower level employee because of something. Happens way too often."
Reward & Recognition,Improve/Good,"This is all important, but doing good work with good people and financial incentives around doing good work are the biggest drivers of my need for rewards or recognitions. "
Culture Analysis,Very Good,"This is an area I believe we do excel extremely well at personally.  While I cannot speak for other departments, our department in particular has worked hard over the last couple years to grow into a more cohesive unit.  The ""bad eggs"" have been removed, and we are as close a group as I have been a part of since joining the Reds.  The group we have makes you wake up and look forward to working each day."
Culture Analysis,Very Good,This is hard to pick one or two things that will help strengthen the culture. I feel that culture happens organically over time. The more the personalities involved believe in each other and believe in what they are all about. they create the vibe that bonds them together. Then the org culture acronyms hold a deeper meaning.
Reward & Recognition,Very Good,This is not an area that requires strengthening.  
Culture Analysis,Improve/Good,"This is so hard to define. But I work remotely so its especially hard. But it would be nice if there was more space in the office so I could work at the office occasionally. For those out of state, it would be nice to travel into Cincy more often. Also, Id like there to be better availability of premium tickets."
Morale Analysis,Improve/Good,"This is the bucket in need to the most work. Team performance obviously hasn't been great which is certainly tied to morale but there are other things not dependent on team success that could boost morale. See below for several thoughts:
A huge item for me to improve morale would be the tinkering of the work hours/setup. For folks with kids who live in the suburbs, the 5:30pm end of the day is tough. Makes it hard to get to practices without leaving early which then leads to a feeling of guilt and a need need to work later in the evening to make up that time. Also makes having quality  time with family (which is already tough due to night and weekend work) and time for other non work related needs (cutting grass for example) challenging. When the team is on the road and/or the offseason I would love to see some exploration into something other than our traditional 8:30-5:30 9-hour in person office days. Would LOVE work from home options when able given that most other companies are now offering this option in come capacity and seeing increased employee happiness and no dip in productivity. Realize this is loaded but 10+ hour days including a commute that keep the average employee gone from before 8am to after 6pm is a lot 5 days a week when you are also working nights and weekends. Leads to burnout. Work weeks should still average 40 hours but could be done in alternate, more accommodating ways.
The decor and furniture on the 2nd/3rd floor is updated and much more modern than the long wall of pictures from the 1980/1990s that serve as the only real art on the 1st floor. Feel like the entire 1st floor lacks personality when walking through it and comes off as very boring. Would love an update to the 1st floor decor which has looked outdated for quite some time. This would include the common areas and the offices (where most of the walls have no color and the floors have ugly brown carpet).
."
Reward & Recognition,Improve/Good,This might already occur but potential free tickets to premium seats for high achievers or gift card to team shop.
Culture Analysis,Very Good,This year has proved better than in the past. I feel that we are headed in right direction. 
Reward & Recognition,Improve/Good,TIME. But it is very difficult to reward staff with time away from the office when all it does is put us behind. We cannot talk about work/life balance until we address the workload/staffing. Less workload or more staff. Either one of those solutions will allow the organization to better reward and recognize its employees.
Better Place to Work Analysis,Improve/Good,"To begin, the Cincinnati Reds are overall a good place to work which is displayed by the tenure in many departments. That said, I think we have an opportunity to catch up to the rest of the workforce & flex to the needs/wants of incoming & existing personnel.
1.	PROMOTE & CELEBRATE DE&I: The Reds do not promote a culture of diversity & inclusion well. To begin, I have rarely received assistance hiring diverse talent or talent in general. Therefore, I and our team dedicate a significant amount of time to recruiting talent and building our pipeline. It is recognized by diverse hires that they are the “only” & that should not be the case. We can do better & should do better. It is not as “cool” to work at the Reds as it once was & at times, its embarrassing. Our candidate pools reflect this & hiring talent in general, let alone diverse talent, is extremely difficult. 
2.	PROMOTE & CELEBRATE WOMEN: There is not equal gender representation at the VP & Executive Level. I do not believe the Reds prioritize recruiting or retaining women. I have witnessed numerous instances where individuals above the VP level have made derogatory comments about the female population. As someone who has aspired or sometimes still aspires to grow within the organization, this is disheartening & deflating. 
From what I have witnessed, being a working mother at the Reds is even harder - especially if you come from a dual-working parent household (which does not affect many, if any, at the VP level & higher currently). The Reds are currently 1 of only 7 MLB teams that do not offer a standardized work from home policy. Working from home 1+ day/week along with allowing for individualized flexibility would make this a better place to work for moms/parents/everyone. In most homes, the core responsibility for children is with the mother. This involves getting your kids on the bus or to and from daycare. 8:30-5:30 business hours dont always work within that & that should not reflect poorly on that individual. We have lost A LOT of great women in recent years. Its sad. When there are only met at the top, our voices will never be heard.
 "
Better Place to Work Analysis,Improve/Good,To make sure our message/mission statement is present and forward in all our both public and private interactions
Better Place to Work Analysis,Improve,"To put it in simple terms, if Reds employees were as valued as Reds season ticket members, this survey wouldn't be necessary.

Employees (especially workers with gameday responsibilities) put in long hours and are usually on the front lines when things go sideways. They don't work here for the pay, as the wages here aren't competitive, rather they work here because of the pride of of being a Cincinnati Red. 

My suggestion is for every Reds executive to read Bob Howsam's book ""My Life in Sports."" And if you want to improve the workplace for employees (who aren't executives), treat them how current season ticket members are being treated."
Morale Analysis,Improve,"To strengthen morale would have to be pay and not feeling like I dont have the opportunity to advance. Over the past 6 months Ive had 4 interviews with an NFL team with pretty much the same position I do here but it was very frustrating seeing how much they value my skill set to here. It was about a $20,000 difference and theyre the same size city and cost of living is very similar to here. Was just very frustrating."
Morale Analysis,Improve/Good,Transparent growth development plans. 
Better Place to Work Analysis,Improve,"Trust is huge with all businesses. I have heard many times that staff does not trust confidential and anonymous surveys to be just that. And as a result, organizations can't get the proper data to improve processes, ideas, or practices. I hope that isn't the case this time and that my input can be helpful.

For any organization to work well, leadership should empower employees to make decisions and help them if they need it. Leadership should trust that the person hired can do the job they are hired to do and as such empower them to make decisions so there are no unnecessary delays in business. This will foster a more cohesive relationship altogether. 

Effective collaboration is essential to making a workplace thrive. It builds good morale. It has to be effective and essential to make an impact. Adapting is most useful if it is applied at a time that isn't just reactive. Accepting change is key, but consistently adapting to unnecessary circumstances isn't adapting effectively, it is an example of scrambling and usually does not offer the best outcome.

The point is that you can have the best concepts to work from but if they aren't applied correctly, they won't be effective. "
Morale Analysis,Improve/Good,Trust your employees. Tell them you know they will make great decisions and let them do it. Don't let upper management get in the way and micro-manage everything that happens. Let us work freely and creatively. 
Morale Analysis,Improve,"Trust your leadership team 
•	Trusting your leadership team would help lessen our “culture of fear”
•	We are often so micromanaged for fear of making a mistake, the details are nitpicked 
•	Trust your people to do the right thing, and then stand back and let them do it
•	When you trust your people, you can also empower them to take control of their own work and make decisions for themselves, which alleviates your own workload 
•	Meet failures with support and development opportunities, instead of retaliation and yelling

Stop making jokes about “Reds Promotion means more work, no more pay.”
•	When an employee is promoted to manager, they do not clock in and out. They are no longer monitored to 40 hours per week (and arent paid for overtime). These managers are now required to work more hours games, nights, weekends plus non-game day events and then must come back for early morning meetings….which is completely understandable. However….
•	The facilitator/approver of manager flexibility doesnt allow them to come in late, leave early or take a day off without putting in PTO or fear of jokes/retaliation for being out of the office. 
•	Our young and wonderful staff values promotions and title changes. Even though it is true many promotions do not come with salary increases, and require more work….it is very off-putting when jokes are made and supported/repeated by leadership. 

"
Culture Analysis,Improve/Good,"Trust your people to make the right decisions. Way too may hoops to jump through, people to involve, just to get every small things approved. "
Better Place to Work Analysis,Improve,"Unfortunately it seems like management doesn't value employees who actually care about the Reds, the organization and making sure the fans are taken care of in a way that makes them want to return. I think management can do a better job in leading their departments to enrich their employees who will feel valued and will then go out and do the job at extremely high levels. Stop allowing bad employees hold departments captive and infect the department with negativity, poor behaviors and bad work ethic. Just putting ""a body in the seat"" is unacceptable in a organization that preaches high values, that mindset must be eradicated. "
Culture Analysis,Improve,"Unfortunately, there is a culture that we have done something wrong or missed something before a project is even finished.  I have heard many times that we do everything right 99.9% of the time, but it's the .01% that creates havoc.  We need to celebrate our wins better with our staff which would keep them engaged and want to always do better.  "
Culture Analysis,Improve/Good,Updated equipment 
Better Place to Work Analysis,Improve/Good,"Upgrading complex facility. For more space 
an room to store equipment. "
Morale Analysis,Improve/Good,"Use the resources you already have.

The stadium is mostly empty almost every night. Most suites go unused for most games. Give departments access to them, hand out some food vouchers, and let people enjoy something that would otherwise be wasted. Intermingle departments so people get to know each other outside of work contexts and perhaps across groups that never would've interacted otherwise.

Use the field more - invite families to camp out there and play a movie on the scoreboard. Have a regular game of softball or something. There is no chance it will cause noticeable damage, and if it occasionally does, that's why we have a grounds crew.

Integrate the business side into baseball more. Give them regular, actual updates (optional attendance, not mandatory) on how the team is doing, top-to-bottom and let them ask questions of baseball leadership. Spread the responsibility out between various baseball departments - operations, analytics, scouting, player development, sports science; we're here for baseball, make sure people know about baseball.

Serve lunch in press dining every day, including weekends when there is a home game."
Better Place to Work Analysis,Improve/Good,"Using the yearly reviews for good and not just for bad. If we do well we should be rewarded. 

Actual bonuses and not just Kroger gift cards. "
Culture Analysis,Very Good,Very good work culture 
Better Place to Work Analysis,Improve/Good,"Very happy with the workplace as a whole. Only thought is perhaps departmental communication (both within and across departments) could maybe be a little stronger, especially for remote employees."
Morale Analysis,Improve/Good,VP Evaluations.
Reward & Recognition,Improve/Good,"We are doing a lot of great things in this area I am sure. But the more personal, the better. Maybe at the monthly picnic, the employee is recognized on the ballpark video board with their family present. Anything with that personal touch matters ten times more. All Mom's working for the Reds get a Red rose on Mothers Day. All Dad's get a Red's tie on Father's day. Next year we can do Old Spice again. "
Reward & Recognition,Improve/Good,"We are doing a lot of great things in this area I am sure. But the more personal, the better. Maybe at the monthly picnic, the employee is recognized on the ballpark video board with their family present. Anything with that personal touch matters ten times more. All Mom's working for the Reds get a Red rose on Mothers Day. All Dad's get a Red's tie on Father's day. Next year we can do Old Spice again. "
Morale Analysis,Improve,"We can start by not sending out a mailer that tells us what our ""worth"" is...especially when that value isn't even close to what our paycheck reads. 

A few weeks after the team lost its 100th game in 2022, employees received an email stating which games they weren't permitted to request employee tickets for in 2023.  Employees remember those things.  

Many of us are still reeling from losing our pension, on top of low wages already accepted for working in professional sports (which is what we signed up for). Perhaps a little bed side manner would go a long way. Understand your workers, figure out what matters to them, walk in their shoes from time to time. 

"
Reward & Recognition,Improve,"We don't need special lunches, grocery store gift cards or days at the zoo. We need a better work/life balance. More time with our families. More time to re-charge and not get burnt out."
Culture Analysis,Improve,"We don't prioritize listening skills in the organization, which leads to very black and white thinking. Everything has to be either good or bad, with no nuance. And because people are constantly talking over and/or interrupting each other, we end up rewarding the loudest voice in the room at the expense of potentially better business ideas. I regularly experience meetings or individual conversations where I make a choice to remain quiet rather than fight through a crowd of loud voices. This is a systemic part of our culture that starts at the top and is persistent throughout all levels of the organization."
Reward & Recognition,Improve/Good,We have a scouting award. Very nice 
Reward & Recognition,Improve/Good,"We have our own rewards in Scouting, not sure about the office"
Reward & Recognition,Improve/Good,"We have several people throughout the organization who do their jobs at a high level but are rarely if ever, recognized for it. We should have employees of the month or at least a simple note from someone saying they are aware of the work we are doing. We are often only told about the things we aren't doing well. We should get more positive feedback from front office members more often. It is easy to feel like we are just spinning our wheels in the minor leagues when we do things the way we are asked and still don't win games and don't get recognized for doing our jobs well inside of the parameters we have been given, or we could change the parameters we have to work within and actually try to win in the minor leagues. "
Morale Analysis,Improve,"We have started to improve but we are still falling short for our employees well-being and quality of life in two ways:
- Competitiveness of compensation not just relative to baseball but to the overall job market in Cincinnati and the country as a whole
- Limitations on hiring that do not allow for reasonable on-call hours for certain staff. Employees should be able to make themselves unavailable for a manageable number of hours every week and feel confident that there is someone else on the staff that can handle any issues that arise while they are offline."
Better Place to Work Analysis,Improve/Good,"We have too many tech issues daily as a field staff. Our time is limited due to our on field activities. Computer issues, software issues daily, older equipment, etc. this makes our multiple responsibilities very hard to accomplish daily."
Morale Analysis,Improve,We need a culture of winning and that starts on the field.
Better Place to Work Analysis,Improve/Good,"We need to consolidate our communication platforms. We have too many places to go to find messages and it creates a disconnect from front office to the field. Slack is proven to be the best communication platform, and it isn't close. TeamWorks is an absolute abomination and makes it impossible to share the content with our players that we would like. 
Not having DEI forced down our throats has been nice. 
More interdepartmental communication would be good. Too often other departments don't know enough about other departments so games/development are stifled because not enough people are willing to learn about other departments.
When it comes to discussing players and what needs to change within the minor league system people are afraid of the truth. Certain people don't want to hear the truth if it goes against their preconceived notions about a player. We need to be able to speak more freely about players.  "
Culture Analysis,Improve/Good,"We need to encourage and all for more long term planning. Part of that comes from what I mentioned above about staffing and allowing for some people to find more strategic opportunities because less of their time is spent on day-to-day. We are an organization that is all about ""player coaches"" but we need to find a way to balance that out some more where there's more coach time and less player time for some of us. Make a plan, stick to it and eliminate some of the panic and reactionary decisions. "
Culture Analysis,Improve,"We need to maximize collisions (serendipitous encounters that form community and encourage creativity and cohesion) by designing for physical proximity. Practically, we should have more common areas and more opportunity to interact with each other (e.g. breakfast/lunch, vending area, quality coffee machines, etc.  (things that put people in the same place throughout the day). It feels like many departments (generally baseball vs. business) are so divided. In great cultures, everyone talks to everyone. Everybody should be able to talk to anybody is a key tenet of Pixars culture. "
Reward & Recognition,Improve/Good,"We need to put more criteria around promotions and titles.  It seems as if a hallway conversation with the can result in promotions for people without any thought about the implication to others.   This has to be taken into account across departments since the titles (Manager, Sr. Manager, Director, Sr. Director) are the same in the entire organization. Titles matter as it shows success in a career both internally and externally."
Culture Analysis,Improve/Good,We need to win more that strengthens our culture. 
Culture Analysis,Improve,"We operate in a fear-based culture, so concerned with the fear of failure that it can sometimes become stifling and suppress creativity.  Recently, I have had 2 occasions where a Manager, Director, and VP all had to bless an agenda, of all things, before the meetings were held.  We have real business objectives to tackle but are incredibly concerned with making sure we don't fail internally. 

Additionally, our organization is one where the loudest voice in the room wins.  We need to offer a more collaborative environment where the talented professionals on staff are trusted to meet objectives.

The organization was once called ""1/3 sweatshop, 1/3 insane asylum, 1/3 frat house."" While that was a joke, I think about it often, because it's accurate.  We need to have a diversity of opinions and perspectives, it will make us stronger. Our lack of diversity in leadership roles, especially at the VP level, is revealed through the organization's decision making. We would benefit by having more women and people of color in our VP level and higher.  Lastly, there are continual running jokes_______, who ""checks to see if people are working,"" which is incredibly hurtful as we work hard and sacrifice nights and weekends to work here."
Better Place to Work Analysis,Improve/Good,"We should diversify the staff more in salaried director level positions. The communities that are lacking in the ballpark on game days (ticket sales) are also lacking in the office staff (management-level positions and above). Having more inclusivity and diversity in the staff could aid with the appeal and approach of fan engagement. 

Also, the visibility of players off-field community initiatives/interests should be marketed more often. Fans are more inclined to come if they know who the players are and how they give back. This would help the sales, promotions and supporting departments get people in the ballpark and improve the fan experience. "
Reward & Recognition,Improve/Good,"We should look to provide a more consistent bonus system for our employees - especially those in the mid-to-lower tier of compensation. Give department managers a pool with which they can choose to reward staff at the end of a long season. Of late it's been nice to see us provide the holiday time gift cards, but I think we're still falling short. Last year we had the one-time bonus for many employees, but I don't think it should be one-time for the ones in our lower salary pool (let's call it under $100,000 per year total comp). Make it universal - something like if you have 40 employees in that category - you have $80,000 to award out, but it doesn't have to be $2,000 per employee. Employees can then strive for that bonus pool through the course of the year with their work. 

Secondly - we should have some sort of FREE snack central. It would not cost that much to make that a thing via Costco all year long. 

I'd also like to bring back some sort of manager review system. It doesn't have to be department specific in my opinion as we work across many departments. We could simply give people and option to go in and provide feedback of any kind to all Director title and above staff if they so choose. 

Lastly - I think our milestone recognitions need to be higher. 5/10/15/20/25/30 years should all come with a cash reward more fitting of the dedication that has been put in to reach those significant years of service. "
Reward & Recognition,Improve/Good,"We strive for customer intimacy with our season ticket holders and corporate partners. Let's get a better understanding of our full time staff. If someone has been here 10+ years, we should be able to get with their manager/staff and give them a unique gift and/or experience that caters to what they value. Maybe they could go on the corporate fly away trip, maybe they could throw out a first pitch, play in the Marty Golf outing, maybe we could give them a suite for a game to host their family/friends in their honor. 

Employee parking is a great reward, thank you. "
Morale Analysis,Improve/Good,We used to have a employee monthly lunch that was provided by DNC which was a nice treat and looked forward to it. So would suggest to bring that back as benefits like this will create higher overall morale for all of us. 
Culture Analysis,Improve/Good,What about a monthly department recognition in the newsletter.  Showcasing who works in each department and what that department does.
Morale Analysis,Improve/Good,"What about giving employees their anniversary or birthday off? More employee events might also be nice. Can we host an employee event with family members included? Also, bring back the Kings Island day! The zoo is fun, but I think employees and families enjoy Kings Island more."
Reward & Recognition,Improve/Good,What are these so called rewards?
Better Place to Work Analysis,Improve/Good,"When a new employee is hired, depending on their position, they need to shadow game day employees or supervisors to learn the day-to-day ballpark operations duties."
Culture Analysis,Improve,"When individual customers are angry, the Reds go above and beyond to pacify them. Same with members of the media; if they are negative enough, we roll out the red carpet for them. Employees see that and wonder why they should be loyal, honorable, respectful, and dedicated to the organization. 

For example, our radio rightsholder rips the team nightly, yet we invite those folks to emcee Reds events, treat them to perks, etc. I don't think that's the right way to do things.
  "
Better Place to Work Analysis,Improve/Good,When you have a good employee take care of them. I know a department that someone asked for a raise did not get it and left and he would be far and away the best at his department. The new people are just not as knowledgeable.
Morale Analysis,Improve,"While I cant speak for other employees, I felt like losing the NUPP was a pretty devastating blow to morale. Having a pension plan is something that separated us from other MLB organizations and other companies in different industries. Losing that retirement benefit can make it difficult to believe the organization truly values you and your work. "
Morale Analysis,Very Good,"While I think morale is already high with the Reds, I think the best way to strengthen morale would be to see more wins on the field, as I think it would give everyone even more purpose in their work if the Reds were fighting for playoff contention or a more serious run into the playoffs."
Better Place to Work Analysis,Improve/Good,"While the lobby/entrance areas on each floor of our office building are nice, there are a lot of areas throughout the office building that would benefit from being upgraded (e.g., lighting / flooring improvements, etc.)."
Better Place to Work Analysis,Very Good,Will largely be covered in responses below. Given that the intention of this is to find areas of weakness that need improved I want to be clear in saying there are a lot of things this company does that are great – this survey is framed in a way to talk about the things they dont do great which can easily come off as unhappy/angry/etc.. 
Morale Analysis,Improve/Good,Win Baseball Games - Get into the playoff. 
Morale Analysis,Improve,Win games.
Morale Analysis,Improve,Win more games. 
Better Place to Work Analysis,Improve/Good,"With all of our extra hours of work during the season, I believe that bringing the Reds back up to the industry standard with PTO is important. While having the week off at Christmas is great, I believe that the Reds should start new hires with an additional 15 days of PTO. We take a lot of time and holidays away from our friends and family, so it would be nice to not have to calculate the time I spend with them when available."
Culture Analysis,Improve/Good,"With the creation of the HYPE committee, I think we do a good job of having front office events that help with our overall culture. So I suggest just doing more events like they have already planned to help 'our family' feel appreciated. "
Reward & Recognition,Improve/Good,"With the economy being the way it is, any rewards would be most appreciated in the form of financial compensation."
Reward & Recognition,Improve/Good,Within the ticket department individuals are recognized for excellent performance. But I'm not aware of that being shared across all aspect of the business. 
Morale Analysis,Improve/Good,Work from home as outlined on previous question
Better Place to Work Analysis,Improve/Good,Work from Home flexibility
Better Place to Work Analysis,Improve/Good,"work from home options when possible would be great

dining area with drinks/vending machines/coffee/utensils, eating at our desks isn't great"
Morale Analysis,Improve/Good,Work from home options. 
Better Place to Work Analysis,Improve/Good,"'-Work from home policy. It could be minimal to start - 1-2 days per month. 
"
Better Place to Work Analysis,Improve/Good,work life blance
Better Place to Work Analysis,Improve/Good,Work/Life balance doesn't exist for everyone in the organization. hard work and many hours at work only gets you more hard work and many more hours. 
Better Place to Work Analysis,Improve/Good,"Working in sports, trying to establish a work-life balance is tough. I would recommend we implement a more “formal” policy regarding remote work. When its up to individual departments, it has a tendency to seem “unfair”. I think if you established something more formal, youd gain more credibility and could even use as a recruiting tool. What about allowing employees to work from home on Fridays in the off-season? Or maybe offer a condensed 4 day schedule? 

Can we bring back the monthly employee lunches? These were always such a big hit. The drink machines and ice in Press Dining used to be available all the time. Can we bring that back as well?

Id recommend increasing Paternity Leave to at least 2 weeks. This is a typical policy across other companies."
Culture Analysis,Improve/Good,Working together with fellow employees to effectively get job activity completed.
Morale Analysis,Improve,"Working with the players and people inside the department is great. Getting outside of our department is tough. There are too many opinions on how we do what we do and people who question the way we develop. 
Working with TeamWorks after games is painstakingly awful. Getting schedules, reports, and scouting information to players is an entire process. Sharing video with players is impossible. Slack is significantly better. "
Culture Analysis,Improve/Good,"Workplace culture could be strengthened by making a concerted effort to hold onto staff long term, whether thats by giving more incentive or pay to stay, which can create a sense of more stability within the organization."
Morale Analysis,Improve,"Workplace moral is a myth. We all have to come to work. Give your employees good flexibility and compensate them well and moral will improve. 


"
